edge_u,edge_v,edge_k,road_type,matched_segment_id,match_dist_m
700784,770923440,0,motorway_link,,
701603,345113584,0,motorway,,
701638,853374875,0,motorway_link,,
701638,969565837,0,motorway_link,,
701646,263759107,0,motorway,,
701660,701646,0,motorway,,
702090,261263104,0,motorway_link,,
702090,1223297118,0,motorway,,
25779161,739968328,0,motorway,927,58.1
25779173,709393011,0,motorway_link,1291,341.8
25779173,25779174,0,motorway,1291,446.4
25779174,4503178589,0,motorway,1291,404.9
25779189,10273279149,0,motorway,679,222.7
25779189,287262182,0,motorway_link,867,310.8
25779203,6341895481,0,motorway_link,1218,253.3
25779203,6343393910,0,motorway,1218,249.3
25779213,347272202,0,motorway,520,493.5
25779221,705743350,0,motorway,519,585.3
25779221,705685448,0,motorway_link,519,302.2
25779238,347276200,0,motorway,639,852.5
25779254,348207411,0,motorway,,
25779254,348205922,0,motorway_link,,
26098008,258016969,0,motorway,899,178.8
26098016,26098008,0,motorway,913,223.1
26098027,713242133,0,motorway_link,543,429.6
26098027,713242521,0,motorway,543,620.9
26098045,2991691145,0,motorway,505,493.8
26098075,347276421,0,motorway,,
26098103,26098106,0,trunk,584,345.1
26098103,12470568630,0,trunk_link,584,348.2
26098106,11940351897,0,trunk,584,89.8
26098166,13151977795,0,motorway_link,595,524.8
26098166,258487701,0,motorway,595,385.6
26099529,258964877,0,secondary,890,515.5
26099529,250755865,0,secondary,890,438.2
26099529,26099532,0,unclassified,890,329.9
26099532,26099533,0,unclassified,890,549.5
26099532,259383173,0,unclassified,890,474.5
26099532,26099529,0,unclassified,890,329.9
26099533,1439614221,0,unclassified,891,569.2
26099533,258964877,0,unclassified,890,468.1
26099533,26099532,0,unclassified,890,549.5
26099536,262418638,0,secondary,890,704.5
26099536,262076886,0,secondary,890,726.8
26099536,26817976,0,secondary,890,805.8
26099537,262418692,0,secondary,1228,533.9
26099537,262418295,0,secondary,1228,502.0
26099542,262418818,0,residential,890,674.5
26099542,260098256,0,secondary,890,619.4
26099542,262418370,0,secondary,890,625.3
26099544,258487701,0,motorway_link,595,296.4
26099544,250755865,0,secondary,595,405.1
26099544,26099544,0,unclassified,595,397.8
26218622,4333923770,0,motorway_link,351,516.9
26218622,345098472,0,motorway,351,431.2
26218631,737087309,0,motorway_link,235,914.1
26218631,345098644,0,motorway,235,879.4
26218680,288458460,0,motorway,,
26218700,1329086747,0,motorway_link,,
26218700,345104091,0,motorway,,
26218702,345104984,0,motorway_link,,
26218702,26218710,0,motorway,,
26218710,345104923,0,motorway,,
26218712,345104875,0,motorway_link,,
26218712,27548986,0,motorway,,
26218731,26218680,0,motorway,,
26218732,345099715,0,motorway_link,,
26218732,26218731,0,motorway,,
26218735,261140390,0,primary,,
26218735,261140389,0,primary,,
26218735,12138983683,0,secondary,,
26218735,26353028,0,primary,,
26220940,13579902106,0,primary,1126,99.7
26220951,2896388410,0,secondary,638,405.0
26220951,261200192,0,secondary,638,406.7
26220951,261135257,0,primary,638,303.1
26220970,2565555090,0,secondary,251,372.3
26220970,2896388403,0,primary,568,200.6
26220970,2996970962,0,secondary,251,338.0
26352096,348211684,0,motorway,,
26352106,339270059,0,motorway,,
26353028,549720185,0,primary,,
26353028,261151017,0,residential,,
26353028,26218735,0,primary,,
26359160,734055765,0,primary,,
26359203,734055776,0,primary_link,,
26359203,549738410,0,tertiary,,
26359203,26359268,0,primary,,
26359203,4616476096,0,primary,,
26359268,549738339,0,primary,,
